#OTU_IDs	16S_rRNA_Count
196123	2.0
748462	3.0
256127	2.0
921297	2.0
107911	2.0
3428172	1.0
297038	2.0
256788	2.0
297037	7.0
845878	2.0
845879	1.0
297033	3.0
2853117	1.0
2853112	2.0
617066	2.0
563200	2.0
563202	2.0
4473294	5.0
295898	2.0
250903	6.0
227900	3.0
295892	2.0
368968	1.0
368969	4.0
4475573	2.0
332899	6.0
368967	6.0
368965	3.0
62922	2.0
3861782	4.0
4316029	10.0
2278791	3.0
4352015	1.0
3770699	2.0
652245	5.0
878231	5.0
3144570	5.0
1038849	4.0
1107568	2.0
1107566	2.0
805547	3.0
1107562	2.0
1097208	5.0
153279	2.0
2168679	2.0
99384	3.0
1066748	5.0
4398656	5.0
4398657	2.0
4398655	1.0
4398652	1.0
4398653	5.0
3773964	1.0
99387	9.0
4398658	1.0
808907	4.0
64370	2.0
4424360	2.0
923473	5.0
4297800	3.0
186244	1.0
232223	1.0
232222	5.0
167420	3.0
186242	1.0
626624	6.0
846497	2.0
186248	6.0
2352826	1.0
753378	3.0
2352822	3.0
4346649	10.0
1568317	2.0
251050	2.0
18561	3.0
3752510	6.0
1121369	10.0
1121362	4.0
885346	4.0
345756	2.0
345757	1.0
202525	3.0
345753	1.0
202528	2.0
823441	7.0
3388641	2.0
823442	2.0
346221	3.0
4377397	9.0
1116635	5.0
346228	2.0
1116632	2.0
1038904	2.0
4465256	3.0
4465255	4.0
605803	3.0
695645	6.0
4465250	5.0
194504	3.0
83388	2.0
194508	7.0
1145519	2.0
269674	2.0
821090	1.0
1067038	2.0
1067039	3.0
168952	3.0
1145513	2.0
796924	2.0
2677735	2.0
511828	2.0
4466508	3.0
433880	2.0
511820	4.0
769611	2.0
705850	2.0
561221	6.0
561222	1.0
569432	2.0
1652051	2.0
569436	3.0
550938	3.0
814193	4.0
814192	2.0
31763	1.0
77937	2.0
550931	2.0
550933	4.0
298562	4.0
550936	7.0
298561	3.0
253664	2.0
4481525	3.0
981957	3.0
757322	4.0
4481522	3.0
531689	1.0
4481520	2.0
1120090	1.0
531685	2.0
1120094	4.0
1120095	3.0
4481529	2.0
4481528	2.0
2480449	4.0
183597	4.0
183592	4.0
2360515	2.0
761700	5.0
523244	4.0
523246	4.0
173340	3.0
183598	4.0
306769	4.0
4418393	4.0
1117948	2.0
1117949	1.0
4418394	1.0
4418395	6.0
1117946	2.0
822715	3.0
824571	1.0
4457346	2.0
4311346	9.0
303498	1.0
617852	2.0
435509	3.0
4332078	4.0
273669	1.0
1569897	2.0
4332073	2.0
273661	2.0
4332076	2.0
4332075	3.0
562757	4.0
317869	4.0
562753	3.0
317865	3.0
776802	3.0
317867	3.0
1068973	5.0
562759	2.0
317862	6.0
4447936	3.0
314988	1.0
314982	12.0
314984	3.0
2215257	2.0
510511	1.0
4760	3.0
4762	2.0
4765	3.0
172438	4.0
287514	2.0
4769	5.0
2272797	6.0
524736	3.0
172431	5.0
524733	1.0
2272791	4.0
452998	4.0
396826	4.0
854963	4.0
515234	1.0
628277	8.0
628276	3.0
628271	1.0
1010491	7.0
366690	2.0
174683	1.0
526399	5.0
366699	5.0
170490	6.0
832060	7.0
527048	1.0
527049	3.0
4370695	2.0
527042	1.0
4370699	3.0
527041	4.0
527047	1.0
1113915	8.0
244505	2.0
404788	1.0
244501	3.0
244503	7.0
163331	9.0
351607	4.0
450737	2.0
618926	2.0
702348	12.0
702349	3.0
2966489	4.0
241487	2.0
560465	7.0
290161	3.0
241483	4.0
593556	2.0
593555	5.0
560464	4.0
552798	5.0
241488	3.0
592601	8.0
240357	4.0
592604	4.0
592605	3.0
240352	4.0
240353	2.0
821434	4.0
439507	3.0
248166	4.0
248165	2.0
904452	5.0
140463	2.0
140460	4.0
286647	1.0
266246	1.0
1077313	3.0
514549	12.0
514548	3.0
205213	4.0
514547	6.0
205211	3.0
855618	7.0
205214	5.0
514542	2.0
4324048	6.0
805339	3.0
320156	1.0
270500	2.0
4449120	2.0
255844	2.0
805334	3.0
1778912	2.0
328708	6.0
3941682	2.0
255843	3.0
542517	3.0
1139702	2.0
1045353	6.0
1139706	2.0
667615	5.0
4302427	3.0
176091	1.0
4324041	3.0
4338664	1.0
4338666	4.0
4338661	4.0
4338660	3.0
4338662	2.0
4448631	6.0
4338668	1.0
4324046	2.0
820383	3.0
4445572	2.0
1134088	3.0
3239984	2.0
4438444	4.0
268855	3.0
141731	4.0
1117119	2.0
141733	2.0
719639	4.0
141738	2.0
719631	2.0
243629	2.0
2450931	4.0
455651	2.0
622460	7.0
804060	3.0
746287	3.0
622468	1.0
876951	2.0
1135562	2.0
4358941	1.0
876957	2.0
391328	8.0
1080702	3.0
1132860	4.0
175167	3.0
175163	1.0
297981	7.0
4190059	3.0
774265	6.0
221811	2.0
305897	2.0
297984	3.0
4377343	2.0
4377342	2.0
45967	2.0
4320656	2.0
45960	2.0
4320653	6.0
45962	5.0
324706	3.0
4377349	2.0
324705	6.0
4320659	3.0
4439798	1.0
111003	4.0
111001	4.0
4439797	2.0
732053	3.0
542666	6.0
849761	3.0
